Year,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Population Estimate,Region
2017,Colombia,36,6.35699987411499,6.26197969406843,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,48908104,Latin America & Caribbean
2016,Mexico,21,6.778,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,121382609,Latin America & Caribbean
2019,Jordan,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,6274414,Middle East & North Africa
2019,Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,27993225,East Asia & Pacific
2019,Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,6194627,Latin America & Caribbean
2016,Israel,11,7.267,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,7427991,Middle East & North Africa
2016,United Kingdom,23,6.725,6.803,1.40283,1.08672,0.80991,0.50036,0.27399,72302975,Europe & Central Asia
2018,China,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,1567995360,East Asia & Pacific
2016,Argentina,26,6.65,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,45352683,Latin America & Caribbean
2016,Netherlands,7,7.339,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,19323541,Europe & Central Asia
2015,Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,10655492,Europe & Central Asia
2019,Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,3283043,Latin America & Caribbean
2016,Iran,105,4.813,4.923,1.11758,0.38857,0.64232,0.22544,0.0557,76858813,Middle East & North Africa
2017,Spain,34,6.40299987792969,6.33494491055608,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,49152640,Europe & Central Asia
2018,Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246,8289231,East Asia & Pacific
2017,Portugal,89,5.19500017166138,5.10495861023665,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.095102712512016,12695436,Europe & Central Asia
2018,Romania,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,27881543,Europe & Central Asia
2017,Paraguay,70,5.49300003051758,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,6868769,Latin America & Caribbean
2017,Italy,48,5.96400022506714,5.88526354417205,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,70897943,Europe & Central Asia
2015,Italy,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,69322406,Europe & Central Asia
2017,Netherlands,6,7.3769998550415,7.32657386884093,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,19539964,Europe & Central Asia
2016,Paraguay,70,5.538,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,6792691,Latin America & Caribbean
2017,Dominican Republic,86,5.23000001907349,5.11093915298581,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,10330182,Latin America & Caribbean
2019,Romania,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,28182663,Europe & Central Asia
2017,Egypt,104,4.7350001335144,4.64486647740006,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,86611457,Middle East & North Africa
2018,Switzerland,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,9024300,Europe & Central Asia
2016,Morocco,90,5.151,5.244,0.84058,0.38595,0.59471,0.25646,0.08404,36665026,Middle East & North Africa
2017,Austria,13,7.00600004196167,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,9965877,Europe & Central Asia
2017,El Salvador,45,6.00299978256226,5.89736444279552,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.078257985413075,7524695,Latin America & Caribbean
2015,Jamaica,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,3141235,Latin America & Caribbean
2018,Haiti,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,9486359,Latin America & Caribbean
2016,Greece,99,5.033,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,12826328,Europe & Central Asia
2016,Suriname,40,6.269,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,524748,Latin America & Caribbean
2015,Greece,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,12681756,Europe & Central Asia
2018,Bulgaria,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,9709263,Europe & Central Asia
2017,Costa Rica,12,7.0789999961853,6.98988832607865,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,4557752,Latin America & Caribbean
2017,Ireland,15,6.97700023651123,6.91064880549908,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,4657407,Europe & Central Asia
2018,Poland,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,48002042,Europe & Central Asia
2016,Ireland,19,6.907,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,4605822,Europe & Central Asia
2019,Iran,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,79423151,Middle East & North Africa
2017,Germany,16,6.95100021362305,6.89661885797977,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,100953237,Europe & Central Asia
2018,Nicaragua,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,6128440,Latin America & Caribbean
2015,Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,8727752,Europe & Central Asia
2015,Paraguay,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,6716128,Latin America & Caribbean
2018,Jordan,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,6207375,Middle East & North Africa
2018,Honduras,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,7882726,Latin America & Caribbean
2017,Morocco,84,5.2350001335144,5.15165930226445,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.03220995515585,37075674,Middle East & North Africa
2015,Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,84686725,Middle East & North Africa
2015,Vietnam,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,94953589,East Asia & Pacific
2016,Costa Rica,14,7.087,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,4507271,Latin America & Caribbean
2018,Syria,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376,20248910,Middle East & North Africa
2019,Colombia,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,49980110,Latin America & Caribbean
2019,Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147,99240232,East Asia & Pacific
2017,Chile,20,6.65199995040894,6.56474934071302,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,18616444,Latin America & Caribbean
2015,Austria,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,9744410,Europe & Central Asia
2016,Hungary,91,5.145,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,12314127,Europe & Central Asia
2015,Nicaragua,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,5927054,Latin America & Caribbean
2019,El Salvador,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,7689626,Latin America & Caribbean
2018,Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,10176820,Latin America & Caribbean
2016,Honduras,104,4.871,4.992,0.69429,0.75596,0.58383,0.26755,0.06906,7710602,Latin America & Caribbean
2015,El Salvador,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,7357477,Latin America & Caribbean
2015,United Kingdom,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,71488012,Europe & Central Asia
2016,Philippines,82,5.279,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,98661777,East Asia & Pacific
2018,Ireland,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,4708638,Europe & Central Asia
2015,Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,8016839,East Asia & Pacific
2015,Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,151544230,East Asia & Pacific
2017,Syria,152,3.46199989318848,3.26033122956753,0.777153134346008,0.396102607250214,0.50053334236145,0.081539444625378,0.493663728237152,20028596,Middle East & North Africa
2015,Belgium,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,12326862,Europe & Central Asia
2016,Australia,9,7.313,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,23144003,East Asia & Pacific
2019,Haiti,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,9588811,Latin America & Caribbean
2017,Japan,51,5.92000007629395,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,154988478,East Asia & Pacific
2018,Ethiopia,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,79682262,Sub-Saharan Africa
2017,Poland,46,5.97300004959106,5.89209175795317,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,47479765,Europe & Central Asia
2019,Denmark,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,6699759,Europe & Central Asia
2016,Bolivia,59,5.822,5.904,0.79422,0.83779,0.4697,0.50961,0.07746,9954602,Latin America & Caribbean
2016,Venezuela,44,6.084,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,28537349,Latin America & Caribbean
2018,Egypt,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,87564183,Middle East & North Africa
2019,Germany,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,103166010,Europe & Central Asia
2018,Liberia,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,3346732,Sub-Saharan Africa
2017,Guatemala,29,6.4539999961853,6.34112601965666,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,13615945,Latin America & Caribbean
2019,Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,9814123,Europe & Central Asia
2019,Honduras,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,7967859,Latin America & Caribbean
2015,Ecuador,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,14947961,Latin America & Caribbean
2015,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,5395478,Europe & Central Asia
2019,Sweden,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,11136528,Europe & Central Asia
2017,Jamaica,76,5.31099987030029,5.04060101211071,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,3212627,Latin America & Caribbean
2019,New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,4772434,East Asia & Pacific
2017,India,122,4.31500005722046,4.25847809694707,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,1233387948,South Asia
2015,Ethiopia,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,77063813,Sub-Saharan Africa
2018,South Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,55961993,Sub-Saharan Africa
2015,New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,4566293,East Asia & Pacific
2017,Uruguay,28,6.4539999961853,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,4087847,Latin America & Caribbean
2015,Dominican Republic,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,10100619,Latin America & Caribbean
2016,Taiwan,34,6.379,6.453,1.39729,0.92624,0.79565,0.32377,0.0663,27089408,East Asia & Pacific
2015,Syria,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,19583509,Middle East & North Africa
2015,Jordan,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,6003395,Middle East & North Africa
2019,France,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,76741946,Europe & Central Asia
2019,Belgium,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,12883352,Europe & Central Asia
2017,Bolivia,58,5.82299995422363,5.74202300593257,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,10066093,Latin America & Caribbean
2016,Germany,16,6.994,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,99835085,Europe & Central Asia
2017,South Africa,101,4.8289999961853,4.72856480464339,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,55353109,Sub-Saharan Africa
2018,Vietnam,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177,98179890,East Asia & Pacific
2016,Panama,25,6.701,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,3522672,Latin America & Caribbean
2016,Poland,57,5.835,5.921,1.24585,1.04685,0.69058,0.4519,0.055,46953882,Europe & Central Asia
2015,Peru,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,31331153,Latin America & Caribbean
2019,Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,15622779,Latin America & Caribbean
2017,Honduras,91,5.18100023269653,5.0604176685214,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,7796960,Latin America & Caribbean
2019,Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,7019323,Latin America & Caribbean
2018,Germany,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,102063722,Europe & Central Asia
2016,El Salvador,46,6.068,6.169,0.8737,0.80975,0.596,0.37269,0.10613,7441352,Latin America & Caribbean
2018,New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,4721443,East Asia & Pacific
2017,New Zealand,8,7.31400012969971,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,4670073,East Asia & Pacific
2019,Morocco,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,37888327,Middle East & North Africa
2017,Philippines,72,5.42999982833862,5.31466460242867,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,99766788,East Asia & Pacific
2018,United Kingdom,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,73917008,Europe & Central Asia
2017,Ethiopia,119,4.46000003814697,4.377271399647,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,78815294,Sub-Saharan Africa
2019,India,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,1260422331,South Asia
2015,Liberia,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,3236756,Sub-Saharan Africa
